,id,title,release_date,popularity,vote_average
65,914,The Great Dictator,1940-10-15,8.3019,8.3
66,1585,It's a Wonderful Life,1946-12-20,10.9969,8.28
67,3082,Modern Times,1936-02-05,5.912,8.279
68,1139087,Once Upon a Studio,2023-09-24,5.721,8.3
69,599,Sunset Boulevard,1950-08-10,7.2352,8.3
70,335,Once Upon a Time in the West,1968-12-21,13.2528,8.277
71,77338,The Intouchables,2011-11-02,14.0839,8.269
72,28,Apocalypse Now,1979-05-19,11.9301,8.268
73,18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,11.6626,8.261
74,15804,A Brighter Summer Day,1991-07-27,6.7126,8.261
75,652837,"Josee, the Tiger and the Fish",2020-12-25,7.6549,8.3
76,572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,6.7409,8.256
77,632632,Given,2020-08-22,5.6191,8.3
78,975,Paths of Glory,1957-10-25,6.0802,8.255
79,654299,Out of the Clear Blue Sky,2019-12-24,2.7598,8.3
80,901,City Lights,1931-02-06,4.7801,8.254
81,637920,Miracle in Cell No. 7,2019-10-10,6.8264,8.252
82,92321,Hotarubi no Mori e,2011-09-17,0.0075,8.252
83,8587,The Lion King,1994-06-15,22.8698,8.252
84,29259,Le Trou,1960-03-18,4.7276,8.25
85,10376,The Legend of 1900,1998-10-28,6.1457,8.241
86,603,The Matrix,1999-03-31,28.5095,8.241
87,630566,Clouds,2020-10-09,4.0562,8.2
88,670,Oldboy,2003-11-21,17.5613,8.239
89,1356039,Counterattack,2025-02-27,9.1562,8.238
90,447362,Life in a Year,2020-11-27,4.352,8.233
91,299536,Avengers: Infinity War,2018-04-25,48.3973,8.233
92,299534,Avengers: Endgame,2019-04-24,34.4089,8.234
93,1186532,The Forge,2024-08-22,4.1501,8.2
94,98,Gladiator,2000-05-04,20.9109,8.224
95,508965,Klaus,2019-11-08,6.513,8.223
96,490132,Green Book,2018-11-16,14.6855,8.223
97,857,Saving Private Ryan,1998-07-24,15.5879,8.222
98,504253,I Want to Eat Your Pancreas,2018-09-01,6.4139,8.222
99,110420,Wolf Children,2012-07-21,5.7273,8.22
100,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,4.8168,8.2
101,527641,Five Feet Apart,2019-03-14,7.8107,8.217
102,24188,Il Sorpasso,1962-12-05,1.7826,8.216
103,16869,Inglourious Basterds,2009-08-02,17.5139,8.216
104,568332,Taylor Swift: Reputation Stadium Tour,2018-12-31,1.4069,8.215
105,92060,Michael Jackson's Thriller,1983-11-14,3.5586,8.215
106,25237,Come and See,1985-10-17,7.5943,8.2
107,265177,Mommy,2014-09-19,4.0219,8.213
108,16672,Woman in the Dunes,1964-02-15,2.8954,8.208
109,1160164,TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,4.0684,8.207
110,37257,Witness for the Prosecution,1957-12-17,6.1722,8.207
111,1124,The Prestige,2006-10-17,15.6172,8.207
112,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,8.8463,8.2
113,694,The Shining,1980-05-23,17.2644,8.205
114,618344,Justice League Dark: Apokolips War,2020-05-05,6.1032,8.2
115,11,Star Wars,1977-05-25,24.4221,8.201
116,315162,Puss in Boots: The Last Wish,2022-12-07,15.7805,8.2
117,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,14.4574,8.2
118,50014,The Help,2011-08-09,10.0877,8.198
119,11324,Shutter Island,2010-02-14,16.7131,8.198
120,687163,Project Hail Mary,2026-03-15,226.5197,8.196
121,441130,Wolfwalkers,2020-10-26,3.6713,8.197
122,354912,Coco,2017-10-27,19.5607,8.197
123,68718,Django Unchained,2012-12-25,19.1149,8.19
124,324786,Hacksaw Ridge,2016-10-07,30.3798,8.19
125,313106,Doctor Who: The Day of the Doctor,2013-11-23,3.6138,8.189
126,290098,The Handmaiden,2016-06-01,16.6965,8.189
127,284,The Apartment,1960-06-21,5.0742,8.187
128,620683,My Mom Is a Character 3,2019-12-26,0.7963,8.2
129,185,A Clockwork Orange,1971-10-28,11.5549,8.178
130,77,Memento,2000-10-11,12.0849,8.177
131,537061,Steven Universe: The Movie,2019-10-07,2.9737,8.2
132,5156,Bicycle Thieves,1948-07-21,3.8438,8.171
133,522924,The Art of Racing in the Rain,2019-08-08,4.377,8.17
134,26451,Investigation of a Citizen Above Suspicion,1970-10-16,2.2026,8.17
135,629,The Usual Suspects,1995-07-19,12.0406,8.169
136,348,Alien,1979-05-25,20.1776,8.168
137,18148,Tokyo Story,1953-11-03,5.2166,8.165
138,490,The Seventh Seal,1957-02-16,4.2905,8.162
139,1422,The Departed,2006-10-04,14.0041,8.16
140,489,Good Will Hunting,1997-12-05,14.8399,8.158
141,476292,Maquia: When the Promised Flower Blooms,2018-02-24,5.6844,8.157
142,111,Scarface,1983-12-09,17.0687,8.155
143,361743,Top Gun: Maverick,2022-05-21,21.6724,8.152
144,37165,The Truman Show,1998-06-04,15.0436,8.152
145,20941,Innocent Voices,2005-01-28,2.9563,8.152
146,399106,Piper,2016-06-16,1.758,8.15
147,426,Vertigo,1958-05-09,6.4603,8.1
148,851644,20th Century Girl,2022-10-06,10.3297,8.1
149,81481,Silenced,2011-09-22,4.5452,8.144
150,289,Casablanca,1943-01-15,8.954,8.143
151,280,Terminator 2: Judgment Day,1991-07-03,20.0059,8.143
152,10098,The Kid,1921-01-21,3.5696,8.142
153,3780,Red Beard,1965-03-04,4.8176,8.1
154,797,Persona,1966-10-18,4.2467,8.1
155,517814,Capernaum,2018-09-20,4.7269,8.1
156,9702,Bound by Honor,1993-02-05,6.1877,8.137
157,872,Singin' in the Rain,1952-04-10,7.4385,8.134
158,666,Central Station,1998-04-03,2.7667,8.132
159,693134,Dune: Part Two,2024-02-27,36.1908,8.13
160,592350,My Hero Academia: Heroes Rising,2019-12-20,5.9907,8.1
161,103,Taxi Driver,1976-02-09,14.6139,8.128
162,606856,Togo,2019-12-20,5.0342,8.1
163,475557,Joker,2019-10-01,24.0511,8.126
164,980477,Ne Zha 2,2025-01-29,24.7938,8.124
165,575813,Better Days,2019-10-25,3.8882,8.1
166,458220,Palmer,2021-01-28,5.3059,8.123
167,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,6.3176,8.1
168,1103621,How to Make Millions Before Grandma Dies,2024-04-04,4.1207,8.121
169,600,Full Metal Jacket,1987-06-26,11.2701,8.119
170,500,Reservoir Dogs,1992-09-02,12.8134,8.116
171,810693,Jujutsu Kaisen 0,2021-12-24,15.8513,8.113
172,20914,My Friends,1975-10-24,1.6732,8.1
173,10681,WALL·E,2008-06-22,18.0058,8.1
174,406997,Wonder,2017-11-13,8.3868,8.107
175,422,8½,1963-02-14,4.928,8.107
176,146233,Prisoners,2013-09-19,14.8776,8.104
177,38288,"“The Shorts” by Aldo, Giovanni and Giacomo",1996-03-29,0.4691,8.1
178,531428,Portrait of a Lady on Fire,2019-09-06,7.9293,8.101
179,46738,Incendies,2010-09-17,8.781,8.101
180,812225,Black Clover: Sword of the Wizard King,2023-06-16,8.0238,8.098
181,600354,The Father,2020-12-23,5.9111,8.098
182,655,"Paris, Texas",1984-07-16,6.3338,8.1
183,1398,Stalker,1979-05-25,5.2175,8.096
184,100,"Lock, Stock and Two Smoking Barrels",1998-08-28,2.9894,8.096
185,103663,The Hunt,2012-10-25,8.4473,8.096
186,829402,Ultraman: Rising,2024-06-14,4.1046,8.094
187,149871,The Tale of The Princess Kaguya,2013-11-23,7.1913,8.095
188,791373,Zack Snyder's Justice League,2021-03-18,13.2999,8.092
189,508442,Soul,2020-12-25,13.8126,8.1
190,398818,Call Me by Your Name,2017-10-01,11.2489,8.1
191,996,Double Indemnity,1944-07-06,3.8487,8.1
192,823219,Flow,2024-08-29,16.7351,8.091
193,19,Metropolis,1927-01-10,4.3755,8.09
194,38,Eternal Sunshine of the Spotless Mind,2004-03-19,22.2542,8.091
195,755812,"Miraculous World: New York, United HeroeZ",2020-09-25,3.285,8.1
196,664767,Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,3.7112,8.1
197,843,In the Mood for Love,2000-09-29,10.2653,8.088
198,24382,Big Deal on Madonna Street,1958-07-26,1.2679,8.1
199,387,Das Boot,1981-09-17,5.2591,8.1
200,406,La Haine,1995-05-31,7.2315,8.085
201,239,Some Like It Hot,1959-03-19,5.9523,8.084
202,795607,Green Snake,2021-07-23,3.2384,8.088
203,470044,The Hate U Give,2018-10-19,3.6818,8.081
204,411088,The Invisible Guest,2017-01-06,7.6149,8.081
205,11878,Yojimbo,1961-04-25,4.9374,8.081
206,614,Wild Strawberries,1957-08-28,2.8265,8.1
207,1026227,There's Still Tomorrow,2023-10-26,3.3185,8.08
208,12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,22.0903,8.1
209,1244492,Look Back,2024-06-28,9.1985,8.074
210,831827,Far from the Tree,2021-11-24,1.5934,8.078
211,705,All About Eve,1950-11-09,3.5811,8.078
212,20334,The Shop Around the Corner,1940-01-12,2.3766,8.075
213,7345,There Will Be Blood,2007-12-26,11.4979,8.1
214,55823,The Great War,1959-10-28,1.7873,8.1
215,20532,Sansho the Bailiff,1954-03-31,3.1435,8.1
216,133919,Scenes from a Marriage,1974-09-15,1.7106,8.07
217,31439,To Live,1994-05-18,4.1637,8.07
218,610892,Violet Evergarden: Eternity and the Auto Memory Doll,2019-09-06,5.089,8.1
219,1091,The Thing,1982-06-25,11.6431,8.067
220,8392,My Neighbor Totoro,1988-04-16,14.4928,8.063
221,2457,Children of Paradise,1945-03-15,1.5189,8.062
222,7347,Elite Squad,2007-10-05,5.0728,8.061
223,832,M,1931-05-11,3.3417,8.061
224,359940,"Three Billboards Outside Ebbing, Missouri",2017-12-01,8.3746,8.059
225,21634,Prayers for Bobby,2009-01-24,2.28,8.1
226,282848,Doctor Who: The Time of the Doctor,2013-12-25,2.0395,8.058
227,11423,Memories of Murder,2003-04-25,11.0535,8.055
228,62,2001: A Space Odyssey,1968-04-02,13.4186,8.055
229,663558,New Gods: Nezha Reborn,2021-02-06,4.0496,8.054
230,522518,A Dog's Journey,2019-05-03,4.5142,8.1
231,640344,Me Against You: Mr. S's Vendetta,2020-01-17,0.6635,8.1
232,518068,Along with the Gods: The Last 49 Days,2018-08-01,4.7422,8.1
233,11659,The Best of Youth,2003-06-22,1.9508,8.05
234,762975,Purple Hearts,2022-07-29,9.1156,8.0
235,4348,Pride & Prejudice,2005-09-16,15.3561,8.047
236,1955,The Elephant Man,1980-10-09,6.7356,8.047
237,1064486,Memoir of a Snail,2024-10-17,5.8683,8.046
238,532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019-08-30,5.5507,8.046
239,42229,A Special Day,1977-08-11,1.9534,8.046
240,548,Rashomon,1950-08-26,5.8564,8.044
241,414419,Kill Bill: The Whole Bloody Affair,2011-03-27,11.4838,8.0
242,638507,How to Train Your Dragon: Homecoming,2019-12-03,4.4828,8.0
243,992,Sherlock Jr.,1924-04-17,2.5947,8.042
244,381284,Hidden Figures,2016-12-10,10.9223,8.041
245,334543,Lion,2016-11-24,6.3081,8.04
246,439,La Dolce Vita,1960-02-05,5.6731,8.04
247,397567,Along with the Gods: The Two Worlds,2017-12-20,5.0378,8.039
248,800,The Young and the Damned,1950-12-09,2.4185,8.037
249,582,The Lives of Others,2006-03-23,6.0529,8.0
250,437068,A Taxi Driver,2017-08-02,5.2906,8.034
251,872585,Oppenheimer,2023-07-19,25.8183,8.0
252,310569,The Second Mother,2015-06-04,0.809,8.032
253,120467,The Grand Budapest Hotel,2014-02-26,15.1676,8.032
254,11645,Ran,1985-06-01,6.6156,8.032
255,803796,KPop Demon Hunters,2025-06-20,51.153,8.029
256,106646,The Wolf of Wall Street,2013-12-25,30.1799,8.028
257,26022,My Name Is Khan,2010-02-10,3.9779,8.024
258,279,Amadeus,1984-09-19,7.2107,8.024
259,550776,Believe Me: The Abduction of Lisa McVey,2018-09-30,3.714,8.021
260,555604,Guillermo del Toro's Pinocchio,2022-11-09,7.3007,8.02
261,538362,On My Skin,2018-09-12,1.0787,8.0
262,610461,"Veinteañera, divorciada y fantástica",2020-02-14,0.5435,8.0
263,938,For a Few Dollars More,1965-12-18,6.8894,8.0
264,147,The 400 Blows,1959-06-03,3.4703,8.016
265,20530,Late Spring,1949-09-13,3.3962,8.0
266,9277,The Sting,1973-12-25,6.9715,8.015
267,641,Requiem for a Dream,2000-10-06,5.4083,8.012
268,307,"Rome, Open City",1945-10-08,2.4513,8.0
269,821,Judgment at Nuremberg,1961-12-18,4.5835,8.009
270,51822,Love Hurts,2002-11-08,5.3047,8.008
271,31414,Satantango,1994-02-08,2.6745,8.0
272,673,Harry Potter and the Prisoner of Azkaban,2004-05-31,21.9643,8.0
273,823754,Bo Burnham: Inside,2021-07-22,2.011,8.007
274,14696,Ugetsu,1953-03-26,3.4223,8.006
275,359724,Ford v Ferrari,2019-11-13,11.2852,8.005
276,28178,Hachi: A Dog's Tale,2009-06-08,8.3775,8.005
277,204,The Wages of Fear,1953-04-22,3.4513,8.005
278,347688,Scooby-Doo! and KISS: Rock and Roll Mystery,2015-07-09,1.7055,8.004
279,43949,Flipped,2010-08-06,9.0034,8.004
280,14,American Beauty,1999-09-15,11.5687,8.001
281,521,Dial M for Murder,1954-05-29,3.826,8.0
282,472454,Ayla: The Daughter of War,2017-10-27,3.0172,8.0
283,8422,Rocco and His Brothers,1960-10-07,2.0622,7.998
284,400928,Gifted,2017-04-07,6.8661,7.997
285,595,To Kill a Mockingbird,1962-12-20,6.3497,8.0
286,264644,Room,2015-10-16,6.2618,7.995
287,110416,Song of the Sea,2014-06-23,3.0402,7.995
288,947,Lawrence of Arabia,1962-12-11,6.9653,7.994
289,526702,Black Beauty,2020-11-27,4.1974,7.993
290,400608,Bo Burnham: Make Happy,2016-06-03,0.6905,7.993
291,55960,"Toto, Peppino, and the Hussy",1956-08-23,0.8863,7.993
292,20453,3 Idiots,2009-12-23,6.298,7.993
293,140420,Paperman,2012-11-02,1.3724,7.992
294,3175,Barry Lyndon,1975-12-18,5.4466,8.0
295,524,Casino,1995-11-22,12.762,7.991
296,515001,Jojo Rabbit,2019-10-18,7.7211,7.99
297,678580,El mesero,2021-07-15,0.8592,8.0
298,19426,Nights of Cabiria,1957-10-03,2.5723,7.989
299,13223,Gran Torino,2008-12-12,6.635,7.989
300,785534,Paper Lives,2021-03-12,1.0964,7.987
301,530915,1917,2019-12-25,10.1411,7.987
302,339877,Loving Vincent,2017-06-22,3.9131,8.0
303,11658,Tae Guk Gi: The Brotherhood of War,2004-02-05,3.2447,7.987
304,205596,The Imitation Game,2014-11-14,16.9581,7.986
305,24428,The Avengers,2012-04-25,62.3386,7.988
306,780,The Passion of Joan of Arc,1928-04-21,2.6044,7.982
307,698687,Transformers One,2024-09-11,14.4774,7.98
308,568160,Weathering with You,2019-07-19,9.5707,8.0
309,2517,Nobody Knows,2004-08-07,3.6577,7.981
310,1059,The Hidden Fortress,1958-12-28,4.2831,7.979
311,429210,Bingo: The King of the Mornings,2017-08-24,0.7552,8.0
312,15,Citizen Kane,1941-04-17,6.3308,7.978
313,838240,Robot Dreams,2023-12-06,4.6243,7.977
314,449176,"Love, Simon",2018-02-16,5.1175,7.977
315,640,Catch Me If You Can,2002-12-16,14.6161,7.977
316,906126,Society of the Snow,2023-12-15,4.6229,7.976
317,11778,The Deer Hunter,1978-12-08,8.1212,8.0
318,962,The Gold Rush,1925-07-13,4.3549,7.976
319,76,Before Sunrise,1995-01-27,7.5742,7.973
320,337404,Cruella,2021-05-26,23.7612,7.973
321,24,Kill Bill: Vol. 1,2003-10-10,17.7337,7.972
322,10515,Castle in the Sky,1986-08-02,9.1338,7.971
323,862,Toy Story,1995-11-22,21.1564,7.971
324,455661,In a Heartbeat,2017-06-01,0.6811,7.97
325,25376,The Secret in Their Eyes,2009-08-13,3.8908,7.97
326,19542,The Red Shoes,1948-09-06,2.891,8.0
327,329,Jurassic Park,1993-06-11,10.0266,7.965
328,213,North by Northwest,1959-08-06,6.8686,7.965
329,38286,Three Men and a Leg,1997-12-27,0.863,7.964
330,11104,Chungking Express,1994-07-14,10.7209,7.961
331,679,Aliens,1986-07-18,14.6544,7.96
332,14160,Up,2009-05-28,20.4999,7.958
333,895,Andrei Rublev,1966-12-16,3.8929,7.959
334,424694,Bohemian Rhapsody,2018-10-24,9.491,8.0
335,627,Trainspotting,1996-02-23,8.7927,7.958
336,3090,The Treasure of the Sierra Madre,1948-01-15,2.7184,7.957
337,678512,Sound of Freedom,2023-07-03,6.8552,8.0
338,574074,Kitbull,2019-01-18,4.0864,7.954
339,626332,Flamin' Hot,2023-03-11,4.0336,8.0
340,7508,Like Stars on Earth,2007-12-21,4.6971,7.953
341,28422,Love Exposure,2008-11-29,6.4673,8.0
342,12761,Autumn Sonata,1978-10-08,3.169,7.952
343,1396,Mirror,1975-03-07,17.2822,7.952
344,70,Million Dollar Baby,2004-12-05,8.1906,8.0
345,11712,Sanjuro,1962-01-01,3.9215,7.951
346,10386,The Iron Giant,1999-08-06,8.4094,7.951
347,6977,No Country for Old Men,2007-11-09,14.704,7.9
348,745,The Sixth Sense,1999-08-06,13.8145,7.949
349,81,Nausicaä of the Valley of the Wind,1984-03-11,11.2633,7.947
350,37797,Whisper of the Heart,1995-07-15,6.4005,7.9
351,149,Akira,1988-06-10,10.9124,7.9
352,25538,Yi Yi,2000-09-20,4.957,7.942
353,197,Braveheart,1995-05-24,11.6535,7.941
354,237791,The Way He Looks,2014-04-10,1.1642,7.938
355,78,Blade Runner,1982-06-25,15.2187,7.94
356,48035,Ordet,1955-01-09,1.2229,7.939
357,41050,La Notte,1961-01-24,1.5414,7.939
358,30017,Close-Up,1990-05-09,1.597,7.938
359,242828,When Marnie Was There,2014-07-19,5.18,7.9
360,12104,Pink Floyd: The Wall,1982-07-14,3.521,7.937
361,489412,It's Such a Beautiful Day,2012-08-24,0.947,7.9
362,28978,The Circus,1928-01-06,1.6662,7.9
363,962232,Beyond the Universe,2022-10-26,1.1779,7.9
364,930094,"Red, White & Royal Blue",2023-07-27,9.7683,7.936
365,634649,Spider-Man: No Way Home,2021-12-15,90.0634,7.934
366,29264,The Exterminating Angel,1962-05-16,2.2301,7.934
367,76203,12 Years a Slave,2013-10-18,7.5819,7.933
368,15244,A Man Escaped,1956-11-11,1.6289,7.9
369,1580,Rope,1948-02-01,3.2938,7.933
370,180147,We Are the Nobles,2013-03-28,1.6768,7.931
371,726684,Miraculous World: Shanghai - The Legend of Ladydragon,2021-05-15,3.1385,7.93
372,6715,The Cure,1995-04-21,3.1033,7.9
373,949,Heat,1995-12-15,17.9261,7.93
374,234,The Cabinet of Dr. Caligari,1920-02-27,2.3432,7.93
375,5925,The Great Escape,1963-07-03,7.3994,7.9
376,1050035,Monster,2023-06-02,7.9439,7.928
377,1000492,All Your Faces,2023-03-29,2.4188,7.928
378,63193,Front of the Class,2008-12-07,2.3555,7.9
379,9323,Ghost in the Shell,1995-11-18,10.3347,7.928
380,142061,"Batman: The Dark Knight Returns, Part 2",2013-01-03,3.247,7.926
381,160885,Tel chi el telùn,1999-05-12,0.1489,7.926
382,13398,Tokyo Godfathers,2003-12-05,7.0035,7.925
383,447365,Guardians of the Galaxy Vol. 3,2023-05-03,22.3499,7.9
384,1087192,How to Train Your Dragon,2025-06-06,27.742,7.924
385,315465,The Boy and the Beast,2015-07-11,4.9219,7.923
386,8290,Don't Look Now... We're Being Shot At!,1966-12-08,3.6917,7.9
387,85,Raiders of the Lost Ark,1981-06-12,18.2108,7.9
388,1646,Freedom Writers,2007-01-05,4.9284,7.919
389,961,The General,1926-12-25,3.3249,7.9
390,194,Amélie,2001-04-25,9.8818,7.918
391,1084736,The Count of Monte Cristo,2024-06-28,13.2542,7.917
392,296096,Me Before You,2016-06-01,12.857,7.917
393,152532,Dallas Buyers Club,2013-11-01,6.985,7.9
394,38360,The Cranes Are Flying,1957-10-12,2.397,7.9
395,10404,Raise the Red Lantern,1991-12-18,4.7613,7.917
396,3777,Throne of Blood,1957-01-15,4.8755,7.917
397,770,Gone with the Wind,1939-12-15,11.5687,7.917
398,9764,Dersu Uzala,1975-08-02,3.3231,7.916
399,51482,Death Note Relight 1: Visions of a God,2007-08-31,3.1944,7.9
400,18438,Castaway on the Moon,2009-05-14,2.4431,7.914
401,11010,The Postman,1994-09-22,2.826,7.9
402,405,La Strada,1954-09-23,2.192,7.912
403,829,Chinatown,1974-06-20,4.6801,7.911
404,378108,In This Corner of the World,2016-11-12,4.0126,7.91
405,23282,One Week,1920-08-29,1.3465,7.9
406,150540,Inside Out,2015-06-17,19.7754,7.9
407,775,A Trip to the Moon,1902-06-15,3.3792,7.9
408,33,Unforgiven,1992-08-07,7.4031,7.908
409,10728,Faust,1926-10-13,2.3005,7.907
410,122906,About Time,2013-09-04,10.2429,7.9
411,20722,La Maison en Petits Cubes,2008-06-10,1.9263,7.906
412,530254,The Witch: Part 1. The Subversion,2018-06-27,8.5952,7.905
413,118340,Guardians of the Galaxy,2014-07-30,10.1227,7.905
414,1892,Return of the Jedi,1983-05-25,8.5246,7.905
415,110,Three Colors: Red,1994-05-12,4.2793,7.905
416,1578,Raging Bull,1980-11-14,5.6798,7.904
417,1000837,I'm Still Here,2024-09-19,6.9826,7.905
418,1162,The Miracle Worker,1962-05-23,2.0559,7.903
419,1092,The Third Man,1949-08-31,5.2566,7.903
420,597,Titanic,1997-12-18,33.0666,7.903
421,503314,Dragon Ball Super: Broly,2018-12-14,2.1808,7.902
422,10242,What Ever Happened to Baby Jane?,1962-10-31,2.8799,7.901
423,60243,A Separation,2011-02-15,3.1683,7.9
424,28971,Limelight,1952-10-16,2.1533,7.9
425,10674,Mulan,1998-06-18,13.6526,7.9
426,14836,Coraline,2009-02-05,27.4193,7.9
427,752,V for Vendetta,2006-02-23,8.7476,7.9
428,313369,La La Land,2016-12-01,19.473,7.9
429,827,Diabolique,1955-01-29,3.0253,7.898
430,21334,Children of Heaven,1997-08-01,2.8221,7.9
431,671,Harry Potter and the Philosopher's Stone,2001-11-16,37.1368,7.9
432,29455,Winter Light,1963-02-11,1.3461,7.895
433,10997,Farewell My Concubine,1993-01-01,6.4513,7.895
434,354857,Regular Show: The Movie,2015-09-01,3.5451,7.9
435,20803,Ivan Vasilyevich Changes His Profession,1973-09-17,1.7476,7.894
436,740937,Simone: Woman of the Century,2022-10-12,1.5318,7.9
437,49964,Where Is The Friend's House?,1987-07-01,1.911,7.9
438,223,Rebecca,1940-03-23,4.7508,7.893
439,94047,My Way,2011-12-21,3.4219,7.9
440,920394,My Father's Violin,2022-01-21,0.9497,7.9
441,804,Roman Holiday,1953-08-26,6.3534,7.891
442,776503,CODA,2021-08-13,11.466,7.89
443,210577,Gone Girl,2014-10-01,21.3874,7.889
444,7984,In the Name of the Father,1993-12-27,4.5378,7.89
445,916224,Suzume,2022-11-11,10.9086,7.889
446,615453,Ne Zha,2019-07-26,8.8726,7.889
447,15383,Army of Shadows,1969-09-10,2.3723,7.9
448,404378,A Street Cat Named Bob,2016-11-04,3.1426,7.888
449,334533,Captain Fantastic,2016-07-08,6.1478,7.888
450,488623,Forgotten,2017-11-29,5.0928,7.888
451,11036,The Notebook,2004-06-25,17.9454,7.9
452,573164,An Egg Rescue,2021-08-12,1.5738,7.9
453,1402,The Pursuit of Happyness,2006-12-14,8.6104,7.886
454,554596,"No manches, Frida 2: paraíso destruido",2019-03-15,3.0453,7.884
455,426618,Where Hands Touch,2018-09-14,1.9322,7.883
456,17295,The Battle of Algiers,1966-09-08,2.4993,7.883
457,615457,Nobody,2021-03-18,14.9434,7.882
458,7857,Amarcord,1973-12-18,3.3292,7.882
459,2011,Persepolis,2007-06-27,3.1673,7.882
460,360814,Dangal,2016-12-21,4.7441,7.881
